#[skew]   [L1-Cache-Misses]   [L2-Cache-Misses]   [L3-Cache-Misses]
2   3206991   87289   28169
3   3566838   110122   46503
4   4209970   169965   85682
5   4910134   218339   120926
6   5646259   391856   204609
7   6387838   401683   230424
8   7142348   443523   241112
9   7891956   477208   276281
10   8652663   661134   361219
