#[skew]   [L1-Cache-Misses]   [L2-Cache-Misses]   [L3-Cache-Misses]
2   3915276   152846   55665
3   4353081   245214   103409
4   5132413   461919   203428
5   5986044   609625   255223
6   6885921   780241   310591
7   7787770   1183991   454618
8   8713587   1209163   471504
9   9626840   1391589   536838
10   10551374   1987391   754961
