#[alphabetSize] [Walltime] [BlockSize] [BranchMissRate] [BranchMis] [BranchExe] [TLB] [L1CM] [L2CM] [L2CH] [L3CM] [Cycles] [WalltimeErr] [BranchMissRateErr] [BranchMisErr] [BranchExeErr] [TLBErr] [L1CMErr] [L2CMErr] [L2CHErr] [L3CMErr] [CyclesErr]
0.00   3.03   0.00   0.37   0.37   0.00   0.00   4.74   0.00   0.00   0.00   2.72
0.00   1.38   0.00   0.16   0.16   0.00   0.00   1.13   0.00   0.00   0.00   0.58
65536.0 820723.4 64.0 0.0253788138493 307231.2 12105814.0 1837.0 32198125.4 119902.0 387124.0 102568.0 2588287946.8 5593.80977867 2.73948360081e-05 331.636789274 0.0 0.0 3347.52437482 0.0 0.0 0.0 826987.337036
65536.0 405739.8 128.0 0.0261887387333 317036.0 12105814.0 1837.0 16164963.2 119902.0 387124.0 102568.0 1292170091.0 160.730084303 8.19432145958e-05 991.989314459 0.0 0.0 549.165694486 0.0 0.0 0.0 328916.059231
65536.0 208205.8 256.0 0.0266961478179 323178.6 12105814.0 1837.0 8187527.4 119902.0 387124.0 102568.0 654844594.8 3560.36590254 2.15663503359e-05 261.078225825 0.0 0.0 902.414006983 0.0 0.0 0.0 123729.615254
65536.0 105386.4 512.0 0.02750336326 332950.6 12105814.0 1837.0 4175734.2 119902.0 387124.0 102568.0 335323033.0 41.6297970209 4.73698973226e-05 573.451166186 0.0 0.0 435.824460075 0.0 0.0 0.0 82662.5003058
65536.0 56789.4 1024.0 0.0278062094792 336616.8 12105814.0 1837.0 2184874.4 119902.0 387124.0 102568.0 175801429.8 1719.12217134 3.95446113103e-05 478.719709225 0.0 0.0 1298.37584697 0.0 0.0 0.0 172733.035611
65536.0 30702.8 2048.0 0.0282072564472 341471.8 12105814.0 1837.0 1191625.2 119902.0 387124.0 102568.0 97159008.8 26.9547769421 2.0420194331e-05 247.203074415 0.0 0.0 1006.57109039 0.0 0.0 0.0 13440.0240684
65536.0 18787.4 4096.0 0.0280341164997 339375.8 12105814.0 1837.0 698984.2 119902.0 387124.0 102568.0 59111088.6 46.9493343936 3.93159721687e-05 475.951846304 0.0 0.0 835.95894636 0.0 0.0 0.0 17766.6124807
65536.0 13550.0 8192.0 0.0278198723357 336782.2 12105814.0 1837.0 496125.2 119902.0 387124.0 102568.0 41931859.0 286.945987949 1.3757965673e-05 166.551373456 0.0 0.0 1629.70713934 0.0 0.0 0.0 138214.572224
65536.0 11878.0 16384.0 0.0278935724603 337674.4 12105814.0 1837.0 549606.0 119902.0 387124.0 102568.0 36638675.0 277.177921199 2.10169817123e-05 254.427671451 0.0 0.0 1610.51445197 0.0 0.0 0.0 51328.336065
65536.0 12952.4 32768.0 0.0276206953122 334371.0 12105814.0 1837.0 816267.8 119902.0 387124.0 102568.0 40020789.0 266.872703737 2.37415843064e-05 287.411203679 0.0 0.0 1312.43352594 0.0 0.0 0.0 164230.417317
65536.0 17099.4 65536.0 0.0274164959085 331899.0 12105814.0 1837.0 1313089.4 119902.0 387124.0 102568.0 53060434.8 301.702900218 0.000100886677797 1221.31535649 0.0 0.0 38214.6509004 0.0 0.0 0.0 694275.890452
65536.0 26186.8 131072.0 0.0271249170027 328369.2 12105814.0 1837.0 2266042.2 119902.0 387124.0 102568.0 82294132.8 315.775489866 4.36795159981e-05 528.776096283 0.0 0.0 62854.4605208 0.0 0.0 0.0 999357.296175
65536.0 43272.8 262144.0 0.0269487867565 326237.0 12105814.0 1837.0 3993385.8 119902.0 387124.0 102568.0 136432776.6 653.150641123 4.38828337674e-05 531.237423381 0.0 0.0 132782.805032 0.0 0.0 0.0 2040486.04365
65536.0 71471.6 524288.0 0.026752137444 323856.4 12105814.0 1837.0 6668803.4 119902.0 387124.0 102568.0 225361335.6 2033.16911249 5.9256675429e-05 717.350291002 0.0 0.0 316357.641784 0.0 0.0 0.0 6140597.70524
65536.0 122938.4 1048576.0 0.0265753794003 321716.6 12105814.0 1837.0 11831581.4 119902.0 387124.0 102568.0 388741035.6 1187.02697526 6.35410060377e-05 769.215600466 0.0 0.0 248258.713651 0.0 0.0 0.0 3454747.30639
