[blockSize]  [Walltime]  [WalltimeErr]
8.0 14621467.2 47207.5935519
16.0 14586941.2 80551.1745921
32.0 14626426.8 68866.6839753
64.0 14627243.4 29959.212497
128.0 14609852.0 53679.7897276
256.0 14608771.2 78632.8439557
512.0 14564460.2 149667.090668
1024.0 14546949.6 37826.0033342
2048.0 14577562.0 54553.7575864
4096.0 14581984.6 103827.544462
8192.0 14636030.4 107297.796856
16384.0 14660706.2 55302.6005009
32768.0 14583294.0 55467.2984451
65536.0 14637193.8 103668.853194
