#[alphabetSize] [Amount] [Walltime] [BlockSize] [WalltimeErr]
0.00   3.55   0.00
0.00   1.11   0.00
65536.0 10000000.0 18385.8 64.0 126.439550774 
65536.0 10000000.0 9821.8 128.0 26.5435491222 
65536.0 10000000.0 5567.4 256.0 32.8365649848 
65536.0 10000000.0 3445.4 512.0 11.8928549979 
65536.0 10000000.0 2411.2 1024.0 21.0656117879 
65536.0 10000000.0 2012.2 2048.0 27.7949635726 
65536.0 10000000.0 1928.4 4096.0 28.8069436074 
65536.0 10000000.0 2076.0 8192.0 42.0523483292 
65536.0 10000000.0 2469.8 16384.0 87.6159802776 
65536.0 10000000.0 3067.8 32768.0 37.9810479055 
65536.0 10000000.0 4364.2 65536.0 43.1851826441 
65536.0 10000000.0 5608.8 131072.0 42.3764085312 
65536.0 10000000.0 7522.2 262144.0 21.7476435505 
