#[BlockSize] [MemSize] [MemResident] [MemHighwatermark]
0.00   0.00
0.00   0.00
8192.0 905204.0 886360.0 985060.0
16384.0 905012.0 885728.0 985252.0
24576.0 904948.0 886356.0 983028.0
32768.0 904916.0 885232.0 986384.0
40960.0 904896.0 885228.0 985536.0
49152.0 904884.0 884128.0 986052.0
57344.0 904876.0 884212.0 984576.0
65536.0 904868.0 886328.0 985784.0
