#[alphabetSize] [Amount] [Walltime] [BlockSize] [WalltimeErr]
0.00   3.07   0.00
0.00   1.31   0.00
65536.0 1000000.0 3673.0 64.0 74.6538679507 
65536.0 1000000.0 2493.6 128.0 26.5827011419 
65536.0 1000000.0 1896.6 256.0 4.58693797647 
65536.0 1000000.0 1595.4 512.0 8.845337755 
65536.0 1000000.0 1447.0 1024.0 19.7989898732 
65536.0 1000000.0 1430.4 2048.0 6.74091981854 
65536.0 1000000.0 1468.0 4096.0 21.0523157871 
65536.0 1000000.0 1569.6 8192.0 22.8438175444 
65536.0 1000000.0 1794.4 16384.0 32.7633942076 
65536.0 1000000.0 2126.6 32768.0 24.9367199126 
65536.0 1000000.0 2818.8 65536.0 29.4645549771 
65536.0 1000000.0 3843.2 131072.0 51.9669125502 
65536.0 1000000.0 5238.0 262144.0 160.572724957 
