#[skew]   [L1-Cache-Misses]   [L2-Cache-Misses]   [L3-Cache-Misses]
2   3914587   160123   60463
3   4350921   244353   107828
4   5126902   344714   149167
5   5980862   530760   224077
6   6871994   847920   335414
7   7777463   896310   343035
8   8700752   1174167   444343
9   9612796   1408026   523903
10   10536972   1697509   612512
