#[Cycles]	[Walltime]	[BranchMis]	[BranchExe]	[BranchMissRate]	[TLB]	[1CM]	[2CM]	[2CHits]	[2CMRate]	[3CM]	[CyclesErr]	[WalltimeErr]	[BranchMisErr]	[BranchExeErr]	[BranchMissRateErr]	[TLBErr]	[1CMErr]	[2CMErr]	[2CHitsErr]	[2CMRateErr]	[3CMErr]
47091571264.4	15094428.4	816460088.2	6640815748.0	0.122945752327	2201889.8	397419282.6	111396784.8	281109995.8	0.39627471973374767	31309479.4	20871631.4102	13552.882182	140136.796055	0.0	2.11023466653e-05	225617.166643	195870.149434	75985.5845471	405239.295877	0.00159480483408	61034.5064061
10840859.8	3570.4	41408.4	2438369.0	0.0169820072352	5395.2	406162.6	165390.8	233989.4	0.7068303094071783	130082.6	52077.7741514	21.3691366227	162.185819355	0.0	6.65140589285e-05	210.548236753	786.140089297	866.029422133	1302.91820158	0.00764356978526	802.774339401
35118523.4	11244.2	317343.8	12948553.0	0.0245080512085	5947.0	414707.8	174666.2	238687.4	0.731778049448777	160396.8	38753.5801474	30.616335509	434.287646612	0.0	3.35394732224e-05	223.724830987	1143.96318123	1036.87731193	1531.43261034	0.00874104750252	1640.90187397
47543124722.6	15245561.2	816619986.4	6641012483.0	0.122966187534	2656594.2	397364861.2	111247963.6	280797658.6	0.3961855100739077	31228581.6	6896300.76172	4833.91433106	69257.654256	0.0	1.04287794118e-05	516946.172544	339468.56745	124195.718763	165494.460053	0.00126240992471	38965.939848
8939208.8	3043.2	24297.0	1673520.0	0.0145184999283	5222.6	270768.2	167401.8	100104.2	1.6722754889405238	140366.4	23995.4936053	27.5782523014	83.1865373723	0.0	4.97075250803e-05	286.264632814	236.503192367	550.743642723	826.454935251	0.00888731847973	637.752804776
27241512.2	8762.0	351257.4	5291882.0	0.0663766501218	7724.0	362538.4	225054.0	134174.6	1.677321937237003	197700.6	78919.446104	22.9521240847	265.365860653	0.0	5.01458385982e-05	262.959312442	708.341612501	791.359084108	1732.03332531	0.0133791473665	1661.03577325
33906964.8	10875.2	315644.8	7618617.0	0.0414307216126	5944.0	517022.8	182601.2	329298.4	0.5545159041161452	156531.0	115743.845366	55.632364681	503.835846283	0.0	6.61321925335e-05	397.877870709	493.155310222	1397.01129559	735.312069804	0.00796981999632	545.926002312
