#[skew]  [Memory]  [MemoryErr]
2 760796848.0 0.0
2.2 762634096.0 0.0
2.4000000000000004 765326320.0 0.0
2.6000000000000005 768416384.0 0.0
2.8000000000000007 772649312.0 0.0
3.000000000000001 776621808.0 0.0
3.200000000000001 782633920.0 0.0
3.4000000000000012 787257072.0 0.0
3.6000000000000014 794001952.0 0.0
3.8000000000000016 798040240.0 0.0
4.000000000000002 802580944.0 0.0
4.200000000000002 809526992.0 0.0
4.400000000000002 814799408.0 0.0
4.600000000000002 819979600.0 0.0
4.8000000000000025 825293776.0 0.0
5.000000000000003 829862384.0 0.0
5.200000000000003 837257856.0 0.0
5.400000000000003 842026272.0 0.0
5.600000000000003 848225344.0 0.0
5.800000000000003 853070896.0 0.0
6.0000000000000036 857528896.0 0.0
